#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.172363E+00   0.950157E+04   0.421232E+04   0.383184E+01   0.381052E+01   0.000000E+00   0.868154E+04   0.868154E+04   0.868176E+04  -0.413303E-01   0.851514E+04   0.731975E+04   0.189762E+02
   0.177769E+00   0.913420E+04   0.429401E+04   0.349276E+01   0.347312E+01   0.000000E+00   0.838378E+04   0.838378E+04   0.838399E+04  -0.399125E-01   0.820875E+04   0.717748E+04   0.158731E+02
   0.183174E+00   0.879929E+04   0.444440E+04   0.320351E+01   0.318528E+01   0.000000E+00   0.812412E+04   0.812412E+04   0.812431E+04  -0.386760E-01   0.793731E+04   0.707467E+04   0.128857E+02
   0.188579E+00   0.848725E+04   0.456867E+04   0.294408E+01   0.292715E+01   0.000000E+00   0.787972E+04   0.787972E+04   0.787989E+04  -0.375123E-01   0.768402E+04   0.696028E+04   0.105012E+02
   0.193985E+00   0.818958E+04   0.459654E+04   0.270184E+01   0.268621E+01   0.000000E+00   0.763252E+04   0.763252E+04   0.763268E+04  -0.363353E-01   0.743460E+04   0.679820E+04   0.897652E+01
   0.199390E+00   0.789961E+04   0.449516E+04   0.247132E+01   0.245702E+01   0.000000E+00   0.737179E+04   0.737179E+04   0.737194E+04  -0.350939E-01   0.717890E+04   0.657250E+04   0.832153E+01
   0.204796E+00   0.761453E+04   0.427223E+04   0.225215E+01   0.223918E+01   0.000000E+00   0.709634E+04   0.709634E+04   0.709648E+04  -0.337825E-01   0.691465E+04   0.629009E+04   0.834438E+01
   0.210201E+00   0.733575E+04   0.396802E+04   0.204700E+01   0.203530E+01   0.000000E+00   0.681362E+04   0.681362E+04   0.681374E+04  -0.324365E-01   0.664733E+04   0.597597E+04   0.873908E+01
   0.215607E+00   0.706692E+04   0.363892E+04   0.185974E+01   0.184920E+01   0.000000E+00   0.653544E+04   0.653544E+04   0.653555E+04  -0.311122E-01   0.638580E+04   0.566210E+04   0.918425E+01
   0.221012E+00   0.681182E+04   0.333994E+04   0.169365E+01   0.168413E+01   0.000000E+00   0.627355E+04   0.627355E+04   0.627365E+04  -0.298653E-01   0.613842E+04   0.537717E+04   0.942438E+01
   0.226418E+00   0.657347E+04   0.311125E+04   0.154988E+01   0.154120E+01   0.000000E+00   0.603669E+04   0.603669E+04   0.603678E+04  -0.287377E-01   0.591163E+04   0.514063E+04   0.931726E+01
   0.231823E+00   0.635345E+04   0.297067E+04   0.142715E+01   0.141917E+01   0.000000E+00   0.582899E+04   0.582899E+04   0.582907E+04  -0.277489E-01   0.570899E+04   0.495965E+04   0.884439E+01
   0.237228E+00   0.615149E+04   0.291261E+04   0.132244E+01   0.131502E+01   0.000000E+00   0.564934E+04   0.564934E+04   0.564942E+04  -0.268936E-01   0.553014E+04   0.482874E+04   0.808986E+01
   0.242634E+00   0.596562E+04   0.291320E+04   0.123180E+01   0.122485E+01   0.000000E+00   0.549238E+04   0.549238E+04   0.549245E+04  -0.261463E-01   0.537121E+04   0.473290E+04   0.719820E+01
   0.248039E+00   0.579271E+04   0.293910E+04   0.115115E+01   0.114461E+01   0.000000E+00   0.535029E+04   0.535029E+04   0.535036E+04  -0.254698E-01   0.522635E+04   0.465291E+04   0.632579E+01
   0.253445E+00   0.562895E+04   0.295698E+04   0.107697E+01   0.107081E+01   0.000000E+00   0.521469E+04   0.521469E+04   0.521475E+04  -0.248242E-01   0.508898E+04   0.457032E+04   0.559948E+01
   0.258850E+00   0.547071E+04   0.294168E+04   0.100688E+01   0.100111E+01   0.000000E+00   0.507861E+04   0.507861E+04   0.507867E+04  -0.241764E-01   0.495321E+04   0.447158E+04   0.509108E+01
   0.264256E+00   0.531572E+04   0.288153E+04   0.939772E+00   0.934383E+00   0.000000E+00   0.493832E+04   0.493832E+04   0.493838E+04  -0.235085E-01   0.481559E+04   0.435102E+04   0.481030E+01
